Year,Artist,Title,Category,Award
2021,Orions Belte,Villa Amorini,Alternativ pop/rock,Nei
2021,Frøkedal & Familien,Flora,Alternativ pop/rock,Nei
2021,Ola Kvernberg,Steamdome II: The Hypogean,Alternativ pop/rock,Ja
2021,Siril Malmedal Hauge,"Slowly, slowly",Jazz,Nei
2021,Friends & Neighbors,The Earth is #,Jazz,Nei
2021,Flukten,Velkommen håp,Jazz,Ja
2021,Ole Morten Vågan / Trondheim Jazz Orchestra,Plastic Wave,Jazz,Nei
2021,Håkon Skogstad med Atle Sponberg og Trondheimsolistene,Visions of Tango,Klassisk,Ja
2021,Sonoko Miriam Welde / Oslo-Filharmonien / Joshua Weilerstein / Tabita Berglund,Sonoko Miriam Welde: Bruch / Vaughan Williams / Barber,Klassisk,Nei
2021,Lise Davidsen,Beethoven/Wagner/Verdi,Klassisk,Nei
2021,Ragnhild Hemsing,RØTA,Klassisk,Nei
2021,KAL-EL,Dark Majesty,Metal,Nei
2021,Einherjer,North Star,Metal,Nei
2021,Nekromantheon,The Visions of Trismegistos,Metal,Nei
2021,Djevel,Tanker som rir natten,Metal,Ja
2021,Hedvig Mollestad Trio,Ding dong. You're dead.,Rock,Nei
2021,Kanaan,Earthbound,Rock,Ja
2021,Heave Blood & Die,Post People,Rock,Nei
2021,Erlend Ropstad,Da himmelen brant var alle hunder stille,Rock,Nei
2021,Signe Bakke / James Clapperton / Kjetil Møster / BIT20 Ensemble / René Wiik / Craig Farr,Soccorsi: Works by Morten Eide Pedersen,Samtid,Ja
2021,Alpaca Ensemble,Rehnqvist/Lindquist,Samtid,Nei
2021,Håvard Gimse,20 Norwegian Piano Miniatures,Samtid,Nei
2021,Maja S. K. Ratkje,Vannstand,Samtid,Nei
2021,Tønes,Thilda Bøes legat,Viser og visepop,Ja
2021,Eva Weel Skram,Sleppe tak,Viser og visepop,Nei
2021,Daniela Reyes,Engangsdager,Viser og visepop,Nei
2021,Marthe Valle,Tilbakestilling,Viser og visepop,Nei
2021,Erlend Apneseth Trio,Lokk,Åpen Klasse,Nei
2021,Bendik Giske,Cracks,Åpen Klasse,Nei
2021,Ulver,Scary Muzak,Åpen Klasse,Nei
2021,Hedvig Mollestad,Tempest Revisited,Åpen Klasse,Ja
2021,Alpaca Ensemble & Eirik Hegdal with Thea Ellingsen Grant,The Sky Opens Twice,TONOs komponistpris,Nei
2021,Ingfrid Breie Nyhus,Slåttepiano II,TONOs komponistpris,Nei
2021,L'homme armé: Works by Ketil Hvoslef,Sjøforsvarets musikkorps / Ingar Bergby  / René Wiik  / Craig Farr,TONOs komponistpris,Nei
2021,Henrik Hellstenius: Past & Presence,"Tora Augestad, Diego Lucchesi, Bergen Filharmoniske Orkester, Edward Gardner, Henrik Hellstenius",TONOs komponistpris,Ja
2021,Frank Skovrand,Opphørets time,Årets Tekstforfatter,Nei
2021,Marie Ulven,if I could make it go quiet,Årets Tekstforfatter,Nei
2021,Daniela Reyes,Engangsdager,Årets Tekstforfatter,Ja
2021,Lars Saabye Christensen,Et snev av evig,Årets Tekstforfatter,Nei
2021,girl in red,Body & Mind,Årets Musikkvideo,Nei
2021,Kjartan Lauritzen,Million,Årets Musikkvideo,Nei
2021,Sondre Justad,Sorry (feat. Musti),Årets Musikkvideo,Nei
2021,Sei Selina,Only When You’re Asleep,Årets Musikkvideo,Ja
2021,Marie Ulven og Matias Téllez,if I could make it go quiet,Årets Produsent,Nei
2021,Lars Kristian Rosness,Lars Kristian Rosness 2021,Årets Produsent,Nei
2021,Cashmere Cat,Cashmere Cat 2021,Årets Produsent,Ja
2021,Filip Kollsete,Filip Kollsete 2021,Årets Produsent,Nei
2021,girl in red,if I could make it go quiet,Årets Låtskriver,Ja
2021,Emelie Hollow,Emelie Hollow 2021,Årets Låtskriver,Nei
2021,Gabrielle,KLIPP MEG I TI OG LIM MEG SAMMEN,Årets Låtskriver,Nei
2021,Stig Brenner,"Hvite Duer, Sort Magi",Årets Låtskriver,Nei
2021,Mo ayn,Gjeter,Hiphop,Nei
2021,Kamelen,Kamelen 2021,Hiphop,Ja
2021,Linni,Nightridah,Hiphop,Nei
2021,B-Boy Myhre,ABSOLUTE B-BOY MUSIC,Hiphop,Nei
2021,Beharie,Beharie // Beharie,Rnb/Soul,Ja
2021,Marie Noreger,GRAVITY,Rnb/Soul,Nei
2021,Stefanos Yowhannes,Neo Noir,Rnb/Soul,Nei
2021,Stig Brenner,"Hvite Duer, Sort Magi",Rnb/Soul,Nei
2021,Bernhoft,Dancing On My Knees,Pop,Nei
2021,Gabrielle,KLIPP MEG I TI OG LIM MEG SAMMEN,Pop,Ja
2021,Lemaitre,Substellar,Pop,Nei
2021,Alan Walker,Alan Walker 2021,Pop,Nei
2021,JONE,JONE 2021,Festmusikk,Nei
2021,Hagle,Hagle 2021,Festmusikk,Ja
2021,Rotlaus,Rotlaus 2021,Festmusikk,Nei
2021,Carina Dahl,Carina Dahl 2021,Festmusikk,Nei
2021,Chris Holsten,Smilet i ditt eget speil,Årets låt,Ja
2021,Halva Priset feat. Maria Mena,Den fineste Chevy'n,Årets låt,Nei
2021,girl in red,Serotonin,Årets låt,Nei
2021,Emma Steinbakken,Jeg glemmer deg aldri,Årets låt,Nei
2021,TIX,Fallen Angel / Ut av mørket,Årets låt,Nei
2021,Hagle,Ærmen i kærmen,Årets låt,Nei
2021,girl in red,if I could make it go quiet,Årets utgivelse,Ja
2021,Gabrielle,KLIPP MEG I TI OG LIM MEG SAMMEN,Årets utgivelse,Nei
2021,Stig Brenner,"Hvite Duer, Sort Magi",Årets utgivelse,Nei
2021,Ola Kvernberg,Steamdome II: The Hypogean,Årets utgivelse,Nei
2021,Ash Olsen,,Årets gjennombrudd og Gramostipend,Nei
2021,Victoria Nadine,,Årets gjennombrudd og Gramostipend,Nei
2021,Murder Maids,,Årets gjennombrudd og Gramostipend,Nei
2021,T Section,,Årets gjennombrudd og Gramostipend,Nei
2021,Hagle,,Årets gjennombrudd og Gramostipend,Ja
2021,Metteson,,Årets gjennombrudd og Gramostipend,Nei
2021,Hellbillies,,Årets Hederspris,Ja
2021,girl in red,,Årets Spellemann,Ja
2020,Sarah Camille,Spor av dråper og røde nebb,Barnemusikk,Ja
2020,Andreas Ihlebæk,Northern Lullabies,Barnemusikk,Nei
2020,Aslak Brimi og Mari Midtli,Huldra Hildur,Barnemusikk,Nei
2020,hei kalas,hvorfor er jeg allergisk?,Barnemusikk,Nei
2020,Daniel Eriksen,Barefoot Among Scarecrows,Blues,Ja
2020,TORA,Girls,Blues,Nei
2020,The Bills,Til The Blues Have Gone,Blues,Nei
2020,Knut Reiersrud,Ballads and Blues from the 20´s Vol.1,Blues,Nei
2020,Sweetheart,Sweetheart,Country,Ja
2020,Darling West,We'll Never Know Unless We Try,Country,Nei
2020,Johan Berggren,Lilyhamericana,Country,Nei
2020,Malin Pettersen,Wildhorse,Country,Nei
2020,Gundelach,My Frail Body,Elektronika,Nei
2020,Lindstrøm & Prins Thomas,III,Elektronika,Nei
2020,Fredfades & Jawn Rice,Luv Neva Fades,Elektronika,Nei
2020,Niilas,Also This Will Change,Elektronika,Ja
2020,Johanne Flottorp / Åsmund Solberg,Heimespel,Folkemusikk/Tradisjonsmusikk,Nei
2020,Britt Pernille Frøholm,Fokhaugen,Folkemusikk/Tradisjonsmusikk,Nei
2020,Mads Erik Odde,Logne slåttar,Folkemusikk/Tradisjonsmusikk,Ja
2020,Ronny Kjøsen,BondeBohem,Folkemusikk/Tradisjonsmusikk,Nei
2020,Okay Kaya,Watch This Liquid Pour Itself,Indie/Alternativ,Ja
2020,Siv Jakobsen,A Temporary Soothing,Indie/Alternativ,Nei
2020,Nils Bech,Foolish Heart,Indie/Alternativ,Nei
2020,Das Body,Peregrine,Indie/Alternativ,Nei
2020,Harald Lassen,Human samling,Jazz,Nei
2020,Maria Kannegaard Trio,Sand i en vik,Jazz,Ja
2020,Møster!,Dust Breathing,Jazz,Nei
2020,Gard Nilssen's Supersonic Orchestra,If You Listen Carefully the Music is Yours,Jazz,Nei
2020,Eldbjørg Hemsing / Simon Trpceski,Grieg: The Violin Sonatas,Klassisk,Ja
2020,Edward Gardner / Bergen Filharmoniske Orkester,Benjamin Britten: Peter Grimes,Klassisk,Nei
2020,Arve Tellefsen / Kaare Ørnung,Haijn Kaare Ørnung å Æ,Klassisk,Nei
2020,Sandra Lied Haga,Sandra Lied Haga,Klassisk,Nei
2020,Enslaved,Utgard,Metal,Nei
2020,Ormskrik,Ormskrik,Metal,Nei
2020,Beaten To Death,"Laat Maar, Ik Verhuis Naar Het Bos",Metal,Nei
2020,Okkultokrati,La Ilden Lyse,Metal,Ja
2020,Motorpsycho,The All Is One,Rock,Nei
2020,Undergrünnen,Ein revnande likegyldighet,Rock,Nei
2020,The Good The Bad & The Zugly,Algorithm & Blues,Rock,Nei
2020,Daufødt,1000 Island,Rock,Ja
2020,Christian Wallumrød Ensemble,Many,Samtid,Nei
2020,Tøyen Fil og Klafferi,Botanisk hage,Samtid,Nei
2020,Det Norske Solistkor,Lament,Samtid,Ja
2020,Kim Myhr & Australian Art Orchestra,Vesper,Samtid,Nei
2020,Marthe Wang,Bakkekontakt,Viser,Nei
2020,Trond Granlund og Terje Norum,Skogslusken,Viser,Nei
2020,Valkyrien Allstars,slutte og byne,Viser,Ja
2020,Stein Torleif Bjella,Øvre-Ål Toneakademi,Viser,Nei
2020,Jaga Jazzist,Pyramid,Åpen Klasse,Nei
2020,Hedvig Mollestad,Ekhidna,Åpen Klasse,Ja
2020,Mimmi,Semper Eadem,Åpen Klasse,Nei
2020,Stian Westerhus,Redundance,Åpen Klasse,Nei
2020,Maja S. K. Ratkje,Maja S. K. Ratkje: Works for String Orchestra,TONOs komponistpris,Nei
2020,Daniel Herskedal,Call For Winter,TONOs komponistpris,Ja
2020,Henrik Ødegaard,Beatitudes,TONOs komponistpris,Nei
2020,Andreas Rotevatn,alea iacta est,TONOs komponistpris,Nei
2020,Sondre Lerche,Patience,Årets Tekstforfatter,Nei
2020,Kristoffer Cezinando Karlsen,ET GODT STUP I ET GRUNT VANN,Årets Tekstforfatter,Ja
2020,Tuva Livsdatter Syvertsen,slutte og byne,Årets Tekstforfatter,Nei
2020,Ugbad Yusuf Mustafa,Qoyskayga,Årets Tekstforfatter,Nei
2020,B-boy Myhre ft. Cezinando,Gammel person,Årets Musikkvideo,Ja
2020,boy pablo,hey girl,Årets Musikkvideo,Nei
2020,Lokoy & Safario,both eyes,Årets Musikkvideo,Nei
2020,girl in red,rue,Årets Musikkvideo,Nei
2020,Thomas Kongshavn,Thomas Kongshavn 2020,Årets Produsent,Nei
2020,Lars Horntveth,Pyramid,Årets Produsent,Nei
2020,Matias Téllez,Matias Téllez produsent 2020,Årets Produsent,Ja
2020,Ole Torjus Hofvind,OLE TORJUS 2020,Årets Produsent,Nei
2020,Nicolas Pablo Munoz,Wachito Rico,Årets Låtskriver,Nei
2020,Anne Lilia Berge Strand,Dark Hearts,Årets Låtskriver,Nei
2020,Sondre Lerche,Patience,Årets Låtskriver,Nei
